F1,Danceability,Energy,Loudness,Liveness,Valence,Views,Likes,Stream
142,0.52,0.761,-3.093,0.17,0.286,129183587,1480652,1322057199
143,0.799,0.539,-6.351,0.165,0.394,886349984,5968729,1290687019
144,0.632,0.686,-7.665,0.2,0.329,632400004,2781127,1424962511
145,0.596,0.552,-10.278,0.104,0.112,860718114,4030063,1143264716
146,0.736,0.449,-11.462,0.0898,0.326,544666810,3251468,1221083395
147,0.83,0.585,-5.802,0.0576,0.642,1381628,12115,586480399
148,0.64,0.647,-8.114,0.0801,0.546,353454004,2754251,1241240312
149,0.708,0.648,-5.626,0.134,0.338,243497172,1758555,843423744
150,0.778,0.632,-5.6,0.0915,0.498,252068988,9415668,196761853
151,0.873,0.695,-4.207,0.211,0.823,189132077,3670104,220692224
152,0.695,0.636,-4.654,0.081,0.575,460717876,3361051,473003231
153,0.778,0.824,-5.892,0.405,0.758,1214508056,6540184,1164605089
154,0.758,0.871,-6.408,0.0663,0.753,3463816330,20327883,629918488
155,0.831,0.868,-5.282,0.184,0.483,144690551,1327396,162685755
156,0.687,0.361,-11.589,0.11,0.526,151765834,507258,138360843
157,0.852,0.773,-2.921,0.159,0.907,2805793003,10370533,859799057
158,0.595,0.461,-7.786,0.123,0.338,135287306,437988,220084336
159,0.839,0.403,-11.059,0.0786,0.575,359765,4970,229134152
160,0.731,0.675,-5.134,0.141,0.298,102439463,1072165,574531280
161,0.628,0.744,-4.718,0.313,0.277,111974897,1198821,426759364
162,0.601,0.92,-4.802,0.0998,0.537,20170299,294321,90825980
163,0.653,0.718,-5.232,0.0537,0.216,206242355,1923118,382579404
164,0.654,0.875,-4.845,0.194,0.522,68116200,854345,254290993
165,0.533,0.858,-4.212,0.148,0.506,117833946,1278216,280845476
166,0.697,0.691,-4.757,0.185,0.305,449712619,3621125,615784555
167,0.665,0.678,-4.122,0.474,0.682,15391210,182210,67878913
168,0.721,0.632,-6.695,0.291,0.296,35856519,335937,212221697
