F1,Url_spotify,Track,Url_youtube,Title,Views,Likes,Stream
40,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Yellow,https://www.youtube.com/watch?v=yKNxeF4KMsY,Coldplay - Yellow (Official Video),832532409,4600933,1483622308
41,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Viva La Vida,https://www.youtube.com/watch?v=dvgZkm1xWPE,Coldplay - Viva La Vida (Official Video),789581468,4370461,1325575712
42,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Sparks,https://www.youtube.com/watch?v=1aokooixKIo,Sparks,73201019,787343,475353044
43,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Something Just Like This,https://www.youtube.com/watch?v=FM7MFYoylVs,The Chainsmokers & Coldplay - Something Just Like This (Lyric),2118018686,10282499,2030825694
44,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,The Scientist,https://www.youtube.com/watch?v=RB-RcX5DS5A,Coldplay - The Scientist (Official 4K Video),1082588109,5532787,1465980600
45,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,A Sky Full of Stars,https://www.youtube.com/watch?v=VPRjCeoBqrI,Coldplay - A Sky Full Of Stars (Official Video),786404613,3741300,1021782403
46,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Paradise,https://www.youtube.com/watch?v=1G4isv_Fylg,Coldplay - Paradise (Official Video),1665814269,8497224,927288329
47,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Hymn for the Weekend,https://www.youtube.com/watch?v=YykjpeuMNEk,Coldplay - Hymn For The Weekend (Official Video),1828242112,13515772,1049654852
48,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,My Universe,https://www.youtube.com/watch?v=3YqPKLZF_WU,Coldplay X BTS - My Universe (Official Video),254655970,8867547,883224238
49,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Fix You,https://www.youtube.com/watch?v=k4V3Mo61fJM,Coldplay - Fix You (Official Video),566239229,2962029,1115171056
50,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,https://www.youtube.com/watch?v=CCHdMIEGaaM,Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers,32310867,956073,844698895
51,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,One More Time,https://www.youtube.com/watch?v=FGBhQbmPwH8,Daft Punk - One More Time (Official Video),432177586,2707992,471747761
52,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Instant Crush (feat. Julian Casablancas),https://www.youtube.com/watch?v=a5uQMwRMHcs,Daft Punk - Instant Crush (Video) ft. Julian Casablancas,606828966,3111505,460589724
53,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers),https://www.youtube.com/watch?v=CCHdMIEGaaM,Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers,32310867,956073,400304719
54,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Around the World,https://www.youtube.com/watch?v=K0HSD_i2DvA,Daft Punk - Around The World (Official Music Video Remastered),38218353,466569,293417547
55,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,"Harder, Better, Faster, Stronger",https://www.youtube.com/watch?v=gAjR4_CbPpQ,"Daft Punk - Harder, Better, Faster, Stronger (Official Video)",121308880,1329678,292668007
56,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Something About Us,https://www.youtube.com/watch?v=sOS9aOIXPEk,Daft Punk - Something About Us (Official Video),77464307,723914,185381876
57,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Lose Yourself to Dance (feat. Pharrell Williams),https://www.youtube.com/watch?v=NF-kLy44Hls,Daft Punk - Lose Yourself to Dance (Official Version),195983803,1115598,274711166
58,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Veridis Quo,https://www.youtube.com/watch?v=HhZaHf8RP6g,Daft Punk - Veridis Quo (Official Video),23984070,216822,90589464
59,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Digital Love,https://www.youtube.com/watch?v=FxzBvqY5PP0,Daft Punk - Digital Love (Official Video),30079390,203063,115484456
60,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,In the End,https://www.youtube.com/watch?v=eVTXPUF4Oz4,In The End [Official HD Music Video] - Linkin Park,1487186392,10183387,1444841705
61,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Numb,https://www.youtube.com/watch?v=kXYiU_JCYtU,Numb [Official Music Video] - Linkin Park,1928733776,12341722,1195213410
62,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,What I've Done,https://www.youtube.com/watch?v=8sgycukafqQ,What I've Done [Official Music Video] - Linkin Park,587927093,3370635,589294152
63,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Numb / Encore,https://www.youtube.com/watch?v=DLlF2FMv968,Numb/Encore [Live] - Linkin Park & Jay Z,44436981,226771,778880225
64,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,One Step Closer,https://www.youtube.com/watch?v=4qlCC1GOwFw,One Step Closer [Official HD Music Video] - Linkin Park,154808291,1102031,447287242
65,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Faint,https://www.youtube.com/watch?v=LYU-8IFcDPw,Faint [Official Music Video] - Linkin Park,378323695,2061834,413355749
66,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Bleed It Out,https://www.youtube.com/watch?v=OnuuYcqhzCE,Bleed It Out [Official Music Video] - Linkin Park,135176149,762715,388331061
67,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Papercut,https://www.youtube.com/watch?v=vjVkXlxsO8Q,Papercut [Official HD Music Video] - Linkin Park,240834555,1400306,345142662
68,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Crawling,https://www.youtube.com/watch?v=Gd9OhYroLN0,Crawling [Official HD Music Video] - Linkin Park,374506972,2197293,391929621
69,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,BURN IT DOWN,https://www.youtube.com/watch?v=dxytyRy-O1k,BURN IT DOWN [Official Music Video] - Linkin Park,353135986,2534190,368132993
70,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Creep,https://www.youtube.com/watch?v=XFkzRNyygfk,Radiohead - Creep,763497849,4777393,1101854725
71,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,No Surprises,https://www.youtube.com/watch?v=u5CVsCnxyXg,Radiohead - No Surprises,167847274,1274934,379349681
72,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Karma Police,https://www.youtube.com/watch?v=1uYWYWPc9HU,Radiohead - Karma Police,89246405,593396,382823305
73,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,High and Dry,https://www.youtube.com/watch?v=AG6H5i1x5A0,Radiohead -  High & Dry -  American Version [OFFICIAL MUSIC VIDEO],80290,2133,291096318
74,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Exit Music (For A Film),https://www.youtube.com/watch?v=Bf01riuiJWA,Exit Music (For A Film),10644157,171322,146857863
75,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Weird Fishes/ Arpeggi,https://www.youtube.com/watch?v=TNRCvG9YtYI,Radiohead - Weird Fishes -  by Tobias Stretch,15335499,125774,121688699
76,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Jigsaw Falling Into Place,https://www.youtube.com/watch?v=GoLJJRIWCLU,Radiohead - Jigsaw Falling Into Place,26398730,180969,79367881
77,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Fake Plastic Trees,https://www.youtube.com/watch?v=n5h0qHwNrHk,Radiohead - Fake Plastic Trees,61340263,398951,219867047
78,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Just,https://www.youtube.com/watch?v=oIFLtNYI3Ls,Radiohead - Just,15041854,146328,88945336
