F1,Artist,Url_spotify,Track,Url_youtube,Views,official_video,Spotify_Available,Stream
49,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Fix You,https://www.youtube.com/watch?v=k4V3Mo61fJM,566239229,True,1,1115171056
50,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,https://www.youtube.com/watch?v=CCHdMIEGaaM,32310867,False,1,844698895
51,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,One More Time,https://www.youtube.com/watch?v=FGBhQbmPwH8,432177586,True,1,471747761
52,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Instant Crush (feat. Julian Casablancas),https://www.youtube.com/watch?v=a5uQMwRMHcs,606828966,True,1,460589724
53,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers),https://www.youtube.com/watch?v=CCHdMIEGaaM,32310867,False,1,400304719
54,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Around the World,https://www.youtube.com/watch?v=K0HSD_i2DvA,38218353,True,1,293417547
55,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,"Harder, Better, Faster, Stronger",https://www.youtube.com/watch?v=gAjR4_CbPpQ,121308880,True,1,292668007
56,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Something About Us,https://www.youtube.com/watch?v=sOS9aOIXPEk,77464307,True,1,185381876
57,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Lose Yourself to Dance (feat. Pharrell Williams),https://www.youtube.com/watch?v=NF-kLy44Hls,195983803,True,1,274711166
58,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Veridis Quo,https://www.youtube.com/watch?v=HhZaHf8RP6g,23984070,True,1,90589464
59,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Digital Love,https://www.youtube.com/watch?v=FxzBvqY5PP0,30079390,True,1,115484456
60,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,In the End,https://www.youtube.com/watch?v=eVTXPUF4Oz4,1487186392,True,1,1444841705
61,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Numb,https://www.youtube.com/watch?v=kXYiU_JCYtU,1928733776,True,1,1195213410
62,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,What I've Done,https://www.youtube.com/watch?v=8sgycukafqQ,587927093,True,1,589294152
63,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Numb / Encore,https://www.youtube.com/watch?v=DLlF2FMv968,44436981,True,1,778880225
64,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,One Step Closer,https://www.youtube.com/watch?v=4qlCC1GOwFw,154808291,True,1,447287242
65,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Faint,https://www.youtube.com/watch?v=LYU-8IFcDPw,378323695,True,1,413355749
66,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Bleed It Out,https://www.youtube.com/watch?v=OnuuYcqhzCE,135176149,True,1,388331061
67,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Papercut,https://www.youtube.com/watch?v=vjVkXlxsO8Q,240834555,True,1,345142662
68,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,Crawling,https://www.youtube.com/watch?v=Gd9OhYroLN0,374506972,True,1,391929621
69,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,BURN IT DOWN,https://www.youtube.com/watch?v=dxytyRy-O1k,353135986,True,1,368132993
